model	dataset	trained	epoch_no	perturb_mec	sigma	epsilon	clip_norm	batch_size	num_images	restarts	OPTIM	cost_fn	indices	weights	scoring	init	tv	opt_score	psnr	test_mse	feat_mse	target_id	timing	dtype	val_acc	rec_img	gt_img
resnet34	CIFAR10	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0167	18.7217	0.2138	0.0274	7942	1:21:27.486174	torch.float32	1.0		
resnet34	CIFAR10	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0153	22.0144	0.1002	0.6394	7509	0:43:05.427744	torch.float32	1.0		
resnet34	CIFAR10	False	3	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0090	21.4808	0.1132	0.0311	4803	0:56:50.146504	torch.float32	1.0		
resnet34	CIFAR10	False	3	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0104	23.4646	0.0717	0.0055	8698	0:58:03.571084	torch.float32	1.0		
resnet34	CIFAR10	False	3	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0086	19.3304	0.1858	0.0556	5452	0:58:01.736928	torch.float32	1.0		
resnet34	CIFAR10	False	3	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0070	23.2560	0.0753	0.0798	1983	0:58:03.041376	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0563	23.6983	0.0450	0.0003	413	0:00:01.346627	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0498	23.4932	0.0471	0.0006	7480	0:00:00.429677	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0771	24.7661	0.0352	0.0002	1270	0:00:00.286191	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0738	21.6095	0.0727	0.0010	4614	0:00:00.206060	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0156	28.7144	0.0142	0.0002	5699	0:01:42.842256	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0303	28.2001	0.0159	0.0005	6676	0:02:14.112014	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0763	24.0525	0.0414	0.0012	8176	0:02:51.947330	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0245	28.1453	0.0161	0.0003	1755	0:03:50.168744	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0152	32.7764	0.0056	0.0001	3673	0:03:59.189492	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0428	31.2418	0.0079	0.0002	2833	0:03:59.365022	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0313	26.5826	0.0231	0.0006	3526	0:03:33.885302	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0358	30.7708	0.0088	0.0005	4721	0:03:25.140394	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0191	30.2682	0.0099	0.0005	4700	0:03:25.054691	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0184	29.3216	0.0123	0.0002	2381	0:03:25.257532	torch.float32	1.0		
mnist cnn	MNIST	False	7	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0024	45.1952	0.0003	0.0000	1598	0:16:57.087439	torch.float32	1.0		
mnist cnn	MNIST	False	7	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0038	41.8256	0.0007	0.0000	1234	0:15:20.330898	torch.float32	1.0		
